"IMSI","IMEI","Start GUMMEI","End GUMMEI","Start Time","End Time","Start Type","End Type","Start MME UE S1AP ID","End MME UE S1AP ID","Start eNB UE S1AP ID","End eNB UE S1AP ID","Total","IMSI Blank","LSR No Key","LSR No IMEI","IMSI Mapped","DMS Not Match","KEY NO IMEI","KEY NO IMSI","IMEI NO KEY","IMEI NO IMSI","IMEI NO NewIMSI","IMSI NO KEY","IMSI NO IMEI","NewIMSI NO IMEI","IMEI Mapped","NewIMSI NO NewIMEI","KEY IMSI Mapping","IMEI IMSI Mapping","DMS IMSI Mapping","KEY NO IMEI Mapping","IMEI NO KEY Mapping","Session Error","Start Type:Connection Reestablishment","Start Type:New Connection","Start Type:S1 Handover","Start Type:Unknown","Start Type:X2 Handover","End Type:Connection Release","End Type:Failed Attempt","End Type:Intra-eNB Handover","End Type:Outgoing S1 Handover","End Type:Outgoing X2 Handover","End Type:Unknown","DMS Match","Key Rate","IMEI Rate","Orig IMSI Rate","KEY NO IMEI Rate","KEY NO IMSI Rate","IMEI NO KEY Rate","IMEI NO IMSI Rate","IMEI NO NewIMSI Rate","IMSI NO KEY Rate","IMSI NO IMEI Rate","NewIMSI NO IMEI Rate","NewIMEI Rate","NewIMSI NO NewIMEI Rate","DMS Not Match Rate","Keyed DMS Match Rate","DMS Match Rate","Mapped Rate","Keyed Mapped Rate","Keyed Mapped Rate (with Blank)","KEY IMSI Mapping Rate","IMEI IMSI Mapping Rate","DMS IMSI Mapping Rate","KEY NO IMEI Mapping Rate","IMEI NO KEY Mapping Rate","File Path","File Time","Sync Time"
"126302","158915","454621","98784","508871","508871","508871","508871","483582","484731","479362","477055","508871","7076","28629","349956","388071","85109","321340","353953","13","33141","4062","13","528","233218","392133","0","370882","158482","392062","233580","0","0","17702","407414","144","12052","71559","398923","4802","","53","88171","16922","395133.0","94.37%","31.23%","24.82%","63.15%","69.56%","0.0%","6.51%","0.8%","0.0%","0.1%","45.83%","77.06%","0.0%","16.73%","82.28%","77.65%","76.26%","80.81%","82.28%","72.88%","31.14%","77.05%","45.9%","0.0%","10.108.200.141/180521/16/2018052116.1526892333.csv","2018-05-21 16:45:33","2018-05-21 16:49:33"
"125832","157985","451934","98883","505434","505434","505434","505434","480167","481403","476044","473808","505434","6004","28495","347449","348001","122956","318976","351127","22","32582","8397","20","429","198413","356398","0","314433","157617","356185","198568","0","0","17726","404312","144","12079","71173","395714","4516","","65","88269","16870","353983.0","94.36%","31.26%","24.9%","63.11%","69.47%","0.0%","6.45%","1.66%","0.0%","0.08%","39.26%","70.51%","0.0%","24.33%","74.22%","70.04%","68.85%","72.97%","74.22%","62.21%","31.18%","70.47%","39.29%","0.0%","10.108.200.141/180521/16/2018052116.1526892028.csv","2018-05-21 16:40:28","2018-05-21 16:44:28"
"98870","124335","351738","71854","393256","393256","393256","393256","372599","373482","369568","368003","393256","5619","23074","268921","309982","54600","245866","271331","19","25825","2052","19","360","187699","312034","0","300406","124049","312014","187965","0","0","13874","318250","112","10044","50976","312022","3826","","46","63669","13693","315582.0","94.13%","31.62%","25.14%","62.52%","69.0%","0.0%","6.57%","0.52%","0.0%","0.09%","47.73%","79.35%","0.0%","13.88%","85.25%","80.25%","78.82%","83.74%","85.26%","76.39%","31.54%","79.34%","47.8%","0.0%","10.108.200.141/180521/16/2018052116.1526891783.csv","2018-05-21 16:36:23","2018-05-21 16:39:47"
"102937","129491","373182","84194","418672","418672","418672","418672","397772","398829","394362","392369","418672","3678","23616","289181","255898","135489","265574","292126","9","26942","10742","7","388","137149","266640","0","214617","129147","266330","137183","0","0","15232","333022","127","9665","60626","324952","3808","","52","76119","13741","259567.0","94.36%","30.93%","24.59%","63.43%","69.77%","0.0%","6.44%","2.57%","0.0%","0.09%","32.76%","63.69%","0.0%","32.36%","65.7%","62.0%","61.12%","64.78%","65.71%","51.26%","30.85%","63.61%","32.77%","0.0%","10.108.200.141/180521/16/2018052116.1526891538.csv","2018-05-21 16:32:18","2018-05-21 16:35:52"
"0","0","1","0","1","1","1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","0","0","0","0","1","1","0","1","0","1","1","0","0","0","1","","0","0","0","0","","0","0","1","1.0","100.0%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","0.0%","10.108.200.141/180521/15/2018052115.1526891388.csv","2018-05-21 16:29:48","2018-05-21 16:30:08"
"99879","125905","364556","83605","407911","407911","407911","407911","386916","387981","383381","381436","407911","3808","23818","282006","250410","129880","258193","284219","5","26452","10367","5","426","134872","260777","0","211327","125556","260447","134891","0","0","14274","322134","112","10526","60865","314348","3610","","51","75259","14643","254213.0","94.16%","30.87%","24.49%","63.3%","69.68%","0.0%","6.48%","2.54%","0.0%","0.1%","33.06%","63.93%","0.0%","31.84%","66.19%","62.32%","61.39%","65.2%","66.19%","51.81%","30.78%","63.85%","33.07%","0.0%","10.108.200.141/180521/16/2018052116.1526891293.csv","2018-05-21 16:28:13","2018-05-21 16:31:42"
"104695","131547","375298","81318","418749","418749","418749","418749","397945","398937","394641","392992","418749","4550","23316","287202","282290","108599","263892","290742","6","27302","8017","4","450","158760","290307","0","250847","131211","290085","158874","0","0","15011","336314","108","9842","57474","329253","3583","","52","72273","13588","286834.0","94.43%","31.41%","25.0%","63.02%","69.43%","0.0%","6.52%","1.91%","0.0%","0.11%","37.91%","69.33%","0.0%","25.93%","72.54%","68.5%","67.41%","71.39%","72.54%","59.9%","31.33%","69.27%","37.94%","0.0%","10.108.200.141/180521/16/2018052116.1526891048.csv","2018-05-21 16:24:08","2018-05-21 16:27:14"
"127270","160176","458975","101536","510174","510174","510174","510174","484690","485953","482788","480634","510174","5391","26524","349998","333504","144772","323491","356390","17","33427","10821","10","521","184149","344325","0","291400","159694","344015","184321","0","0","18466","409602","121","12188","69797","400505","4207","","70","90653","14739","338878.0","94.8%","31.4%","24.95%","63.41%","69.86%","0.0%","6.55%","2.12%","0.0%","0.1%","36.1%","67.49%","0.0%","28.38%","70.07%","66.42%","65.37%","68.96%","70.07%","57.12%","31.3%","67.43%","36.13%","0.0%","10.108.200.141/180521/16/2018052116.1526890748.csv","2018-05-21 16:19:08","2018-05-21 16:23:08"
"0","0","0","0","2435","2435","2435","2435","2419","2419","0","0","2435","0","2435","2435","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","","4","2419","0","10","","0","0","2425","0.0","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","10.108.200.141/180521/15/2018052115.1526890713.csv","2018-05-21 16:18:33","2018-05-21 16:21:08"
"0","0","1","0","15117","15117","15117","15117","2921","2921","2","2","15117","0","15115","15117","1","1","2","2","0","0","0","0","0","1","1","0","1","0","1","1","0","0","576","3135","","8486","2920","0","3134","","0","0","11983","1.0","0.01%","0.0%","0.0%","0.01%","0.01%","0.0%","0.0%","0.0%","0.0%","0.0%","0.01%","0.01%","0.0%","0.01%","50.0%","0.01%","0.01%","50.0%","50.0%","0.01%","0.0%","0.01%","0.01%","0.0%","10.108.200.141/180521/15/2018052115.1526890458.csv","2018-05-21 16:14:18","2018-05-21 16:17:33"
"122061","153211","433737","90876","467221","467221","467221","467221","455804","456926","455614","453788","467221","2855","10730","314010","239289","214353","303285","334435","5","31708","19633","5","558","105711","258922","0","164182","152758","258309","105551","0","0","17086","387476","117","2516","60026","382938","835","","53","80561","2834","242138.0","97.7%","32.79%","26.12%","64.91%","71.58%","0.0%","6.79%","4.2%","0.0%","0.12%","22.63%","55.42%","0.0%","45.88%","53.04%","51.83%","51.22%","52.42%","53.04%","35.14%","32.7%","55.29%","22.59%","0.0%","10.108.200.141/180521/16/2018052116.1526890443.csv","2018-05-21 16:14:03","2018-05-21 16:18:03"
"2873","3367","31071","30163","47289","47289","47289","47289","33080","33337","30040","29022","47289","66","17128","43922","6011","24084","26794","27288","0","495","402","0","1","3046","6413","0","3712","3365","6411","3046","0","0","2264","14333","10","9567","21115","0","2996","","0","31096","13197","6077.0","63.78%","7.12%","6.08%","56.66%","57.7%","0.0%","1.05%","0.85%","0.0%","0.0%","6.44%","13.56%","0.0%","50.93%","20.15%","12.85%","12.71%","19.93%","20.15%","7.85%","7.12%","13.56%","6.44%","0.0%","10.108.200.141/180521/15/2018052115.1526890198.csv","2018-05-21 16:09:58","2018-05-21 16:13:33"
"102826","129444","346733","50018","372539","372539","372539","372539","367147","367955","367114","366457","372539","1560","4828","243095","164536","201645","238297","264914","30","27079","20667","29","461","55759","185203","0","86728","129137","184612","55475","0","0","12266","324844","99","3","35327","332297","0","","61","40054","127","166066.0","98.7%","34.75%","27.6%","63.97%","71.11%","0.01%","7.27%","5.55%","0.01%","0.12%","14.97%","49.71%","0.0%","54.13%","45.16%","44.58%","44.17%","44.75%","45.17%","23.28%","34.66%","49.56%","14.89%","0.0%","10.108.200.141/180521/16/2018052116.1526890198.csv","2018-05-21 16:09:58","2018-05-21 16:13:04"
"6359","7432","66813","64778","83675","83675","83675","83675","68008","68554","64445","62181","83675","144","18960","76243","13269","51308","57289","58360","6","1073","854","4","0","6691","14123","0","8235","7429","14120","6691","0","0","4393","29009","30","9460","40783","0","3281","","0","66886","13508","13407.0","77.34%","8.88%","7.6%","68.47%","69.75%","0.01%","1.28%","1.02%","0.0%","0.0%","8.0%","16.88%","0.0%","61.32%","20.72%","16.02%","15.86%","20.5%","20.73%","9.84%","8.88%","16.87%","8.0%","0.0%","10.108.200.141/180521/15/2018052115.1526889953.csv","2018-05-21 16:05:53","2018-05-21 16:08:58"
"95736","120929","303253","17989","329585","329585","329585","329585","325531","325987","325486","325990","329585","882","3622","208656","133185","191899","205036","230228","2","25627","21664","1","434","33920","154849","0","52712","120642","154222","33580","0","0","9893","299823","90","1","19778","322050","1","","43","7454","37","134064.0","98.9%","36.69%","29.05%","62.21%","69.85%","0.0%","7.78%","6.57%","0.0%","0.13%","10.29%","46.98%","0.0%","58.22%","41.13%","40.68%","40.41%","40.86%","41.13%","15.99%","36.6%","46.79%","10.19%","0.0%","10.108.200.141/180521/16/2018052116.1526889953.csv","2018-05-21 16:05:53","2018-05-21 16:08:58"
"12958","15815","82717","59353","103940","103940","103940","103940","87262","87778","84168","82126","103940","593","19485","88125","37137","46729","68644","71498","4","2893","907","1","36","22229","38044","0","32203","15791","38039","22248","0","0","4704","49391","26","10696","39123","26042","3119","","3","60443","14333","37726.0","81.25%","15.22%","12.47%","66.04%","68.79%","0.0%","2.78%","0.87%","0.0%","0.03%","21.39%","36.6%","0.0%","44.96%","44.67%","36.3%","35.73%","43.97%","44.67%","30.98%","15.19%","36.6%","21.4%","0.0%","10.108.200.141/180521/15/2018052115.1526889708.csv","2018-05-21 16:01:48","2018-05-21 16:04:57"
"91938","115999","290559","17508","313259","313259","313259","313259","309151","309632","309133","309664","313259","666","3655","197260","123826","185126","193619","217679","14","24437","21098","13","376","28925","144924","0","44595","115733","144328","28595","0","0","9862","287801","72","3","15521","305702","0","","49","7431","77","124478.0","98.83%","37.03%","29.35%","61.81%","69.49%","0.0%","7.8%","6.74%","0.0%","0.12%","9.23%","46.26%","0.0%","59.1%","40.21%","39.74%","39.53%","39.99%","40.21%","14.24%","36.94%","46.07%","9.13%","0.0%","10.108.200.141/180521/16/2018052116.1526889708.csv","2018-05-21 16:01:48","2018-05-21 16:04:53"
"119554","149426","422398","87147","470377","470377","470377","470377","446687","447843","443241","441570","470377","4440","26338","320951","289297","150321","294632","324499","19","30357","12275","14","485","152146","301572","0","240718","149050","301224","152174","0","0","16612","381784","102","11272","60607","373137","4348","","73","77484","15335","293718.0","94.4%","31.77%","25.42%","62.64%","68.99%","0.0%","6.45%","2.61%","0.0%","0.1%","32.35%","64.11%","0.0%","31.96%","66.15%","62.44%","61.5%","65.15%","66.15%","51.18%","31.69%","64.04%","32.35%","0.0%","10.108.200.141/180521/15/2018052115.1526889408.csv","2018-05-21 15:56:48","2018-05-21 16:00:48"
"105178","131791","374367","77982","417363","417363","417363","417363","397265","398354","394162","392717","417363","5761","22448","285572","323184","65991","263144","289756","20","27069","2991","19","456","194384","326175","0","309855","131525","326104","194579","0","0","14926","337324","102","9090","55921","332268","3553","","54","68780","12708","328924.0","94.62%","31.58%","25.2%","63.05%","69.43%","0.0%","6.49%","0.72%","0.0%","0.11%","46.57%","78.15%","0.0%","15.81%","83.29%","78.81%","77.43%","81.84%","83.3%","74.24%","31.51%","78.13%","46.62%","0.0%","10.108.200.141/180521/15/2018052115.1526889163.csv","2018-05-21 15:52:43","2018-05-21 15:56:42"
"0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","0","0","0","0","1","1","0","1","0","1","1","0","0","0","0","","0","1","0","0","","0","0","1","1.0","100.0%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","0.0%","10.108.200.141/180521/14/2018052114.1526888978.csv","2018-05-21 15:49:38","2018-05-21 15:50:43"
"100051","125547","363905","82273","405975","405975","405975","405975","384578","385548","381290","379592","405975","5629","24031","280428","315484","60852","256418","281909","21","25905","1929","16","409","191866","317413","0","305819","125262","317383","192121","0","0","14460","323837","118","9920","57640","314324","4104","","67","73755","13725","321092.0","94.08%","30.92%","24.64%","63.16%","69.44%","0.01%","6.38%","0.48%","0.0%","0.1%","47.26%","78.19%","0.0%","14.99%","84.07%","79.09%","77.71%","82.6%","84.07%","75.33%","30.85%","78.18%","47.32%","0.0%","10.108.200.141/180521/15/2018052115.1526888918.csv","2018-05-21 15:48:38","2018-05-21 15:52:12"
"102146","128176","364139","75173","404439","404439","404439","404439","384737","385682","381808","380343","404439","4341","21977","276263","271418","106711","254293","280321","7","26463","8163","5","433","151405","279581","0","239653","127920","279341","151421","0","0","13895","328851","86","9058","52549","321787","3649","","45","66382","12576","275751.0","94.57%","31.69%","25.26%","62.88%","69.31%","0.0%","6.54%","2.02%","0.0%","0.11%","37.44%","69.13%","0.0%","26.38%","72.1%","68.18%","67.11%","70.97%","72.1%","59.26%","31.63%","69.07%","37.44%","0.0%","10.108.200.141/180521/15/2018052115.1526888668.csv","2018-05-21 15:44:28","2018-05-21 15:48:17"
"103501","129639","368738","75672","409468","409468","409468","409468","389820","390759","386716","385175","409468","5811","22133","279829","318511","63022","257705","283842","9","26571","2877","8","433","191749","321388","0","305871","129338","321312","191974","0","0","13780","333014","99","9412","53163","326310","3389","","46","66616","13107","324313.0","94.59%","31.66%","25.28%","62.94%","69.32%","0.0%","6.49%","0.7%","0.0%","0.11%","46.83%","78.49%","0.0%","15.39%","83.73%","79.2%","77.79%","82.23%","83.73%","74.7%","31.59%","78.47%","46.88%","0.0%","10.108.200.141/180521/15/2018052115.1526888413.csv","2018-05-21 15:40:13","2018-05-21 15:44:12"
"108795","136460","392092","84039","436080","436080","436080","436080","415244","416273","411800","410167","436080","6265","23616","299620","336670","69543","276018","303679","14","28132","3073","10","467","203283","339743","0","323518","136139","339681","203542","0","0","14872","351362","98","9925","59823","343625","3598","","63","74774","14020","342921.0","94.58%","31.29%","24.95%","63.3%","69.64%","0.0%","6.45%","0.7%","0.0%","0.11%","46.62%","77.91%","0.0%","15.95%","83.14%","78.64%","77.2%","81.62%","83.14%","74.19%","31.22%","77.89%","46.68%","0.0%","10.108.200.141/180521/15/2018052115.1526888158.csv","2018-05-21 15:35:58","2018-05-21 15:39:57"
"98639","123596","352481","73893","392174","392174","392174","392174","373451","374418","370350","368791","392174","5500","21200","268578","310521","54968","247393","272345","15","25340","1822","10","383","188747","312343","0","301567","123310","312312","189002","0","0","13346","317196","96","8808","52728","310136","3447","","45","66061","12485","316006.0","94.59%","31.52%","25.15%","63.08%","69.44%","0.0%","6.46%","0.46%","0.0%","0.1%","48.13%","79.64%","0.0%","14.02%","85.18%","80.58%","79.18%","83.7%","85.19%","76.9%","31.44%","79.64%","48.19%","0.0%","10.108.200.141/180521/15/2018052115.1526887913.csv","2018-05-21 15:31:53","2018-05-21 15:35:28"
"0","0","1","1","2","2","2","2","1","1","1","1","2","0","1","2","1","0","1","1","0","0","0","0","0","1","1","0","1","0","1","1","0","0","0","1","","1","0","0","0","","0","0","2","1.0","50.0%","0.0%","0.0%","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","0.0%","50.0%","50.0%","0.0%","0.0%","100.0%","50.0%","50.0%","100.0%","100.0%","50.0%","0.0%","50.0%","50.0%","0.0%","10.108.200.141/180521/14/2018052114.1526887763.csv","2018-05-21 15:29:23","2018-05-21 15:29:52"
"124257","155966","447427","94220","497823","497823","497823","497823","473529","474761","469777","467904","497823","5188","27224","341857","324766","140662","314650","346356","17","32296","10576","14","587","179376","335342","0","283540","155563","335062","179499","0","0","17202","402617","124","11850","66030","393851","3990","","61","83610","16311","329937.0","94.53%","31.33%","24.96%","63.21%","69.57%","0.0%","6.49%","2.12%","0.0%","0.12%","36.03%","67.36%","0.0%","28.26%","70.11%","66.28%","65.24%","69.01%","70.11%","56.96%","31.25%","67.31%","36.06%","0.0%","10.108.200.141/180521/15/2018052115.1526887613.csv","2018-05-21 15:26:53","2018-05-21 15:30:53"
"96972","121630","346461","69481","384115","384115","384115","384115","365442","366387","362779","361459","384115","4133","20770","262485","257343","101887","241733","266391","18","25098","7810","18","440","143523","265153","0","226456","121344","264912","143568","0","0","13520","313586","97","8741","48171","307445","3217","","48","61463","11942","261458.0","94.59%","31.66%","25.25%","62.93%","69.35%","0.0%","6.53%","2.03%","0.0%","0.11%","37.36%","69.03%","0.0%","26.53%","71.96%","68.07%","67.0%","70.83%","71.96%","58.96%","31.59%","68.97%","37.38%","0.0%","10.108.200.141/180521/15/2018052115.1526887368.csv","2018-05-21 15:22:48","2018-05-21 15:26:17"
"102230","128005","369934","80614","410265","410265","410265","410265","389633","390742","388655","386964","410265","5032","20972","282260","298288","85988","261303","287077","15","26222","5207","14","447","175490","303495","0","277063","127703","303359","175656","0","0","15270","331053","104","9460","54378","323175","3192","","70","72750","11078","303305.0","94.89%","31.2%","24.92%","63.69%","69.97%","0.0%","6.39%","1.27%","0.0%","0.11%","42.77%","73.98%","0.0%","20.96%","77.91%","73.93%","72.71%","76.62%","77.92%","67.53%","31.13%","73.94%","42.82%","0.0%","10.108.200.141/180521/15/2018052115.1526887123.csv","2018-05-21 15:18:43","2018-05-21 15:21:48"
"1","1","12","5","3548","3548","3548","3548","2684","2684","16","16","3548","0","3532","3547","15","1","15","15","0","0","0","0","0","14","15","0","15","1","15","14","0","0","48","201","","627","2672","0","189","","0","0","3359","15.0","0.45%","0.03%","0.03%","0.42%","0.42%","0.0%","0.0%","0.0%","0.0%","0.0%","0.39%","0.42%","0.0%","0.03%","93.75%","0.42%","0.42%","93.75%","93.75%","0.42%","0.03%","0.42%","0.39%","0.0%","10.108.200.141/180521/14/2018052114.1526887068.csv","2018-05-21 15:17:48","2018-05-21 15:21:47"
"101943","127765","366883","77414","393863","393863","393863","393863","384968","385956","384834","383240","393863","1521","8444","266098","163006","220908","257669","283491","15","26258","20338","15","436","55579","183344","0","84840","127466","182752","55286","0","0","13912","326485","103","1608","51755","322025","584","","49","69359","1846","164511.0","97.86%","32.44%","25.88%","65.42%","71.98%","0.0%","6.67%","5.16%","0.0%","0.11%","14.11%","46.55%","0.0%","56.09%","42.68%","41.77%","41.39%","42.29%","42.69%","21.54%","32.36%","46.4%","14.04%","0.0%","10.108.200.141/180521/15/2018052115.1526886868.csv","2018-05-21 15:14:28","2018-05-21 15:17:47"
"3","3","8","0","16181","16181","16181","16181","3103","3103","10","10","16181","0","16173","16178","9","1","7","7","2","0","0","2","0","6","9","0","7","3","9","6","0","0","644","3256","1","9185","3095","0","3249","","0","0","12932","7.0","0.05%","0.02%","0.02%","0.04%","0.04%","0.01%","0.0%","0.0%","0.01%","0.0%","0.04%","0.06%","0.0%","0.01%","87.5%","0.04%","0.06%","112.5%","112.5%","0.04%","0.02%","0.06%","0.04%","0.0%","10.108.200.141/180521/14/2018052114.1526886808.csv","2018-05-21 15:13:28","2018-05-21 15:17:12"
"103108","129482","349828","50820","375039","375039","375039","375039","369156","370019","369073","368489","375039","1245","5409","245557","154685","213710","240158","266530","10","26826","21572","8","452","46775","176257","0","72187","129157","175598","46441","0","0","12685","327445","96","7","34806","333526","3","","52","41361","97","155920.0","98.56%","34.52%","27.49%","64.04%","71.07%","0.0%","7.15%","5.75%","0.0%","0.12%","12.47%","47.0%","0.0%","56.98%","42.18%","41.57%","41.25%","41.85%","42.19%","19.25%","34.44%","46.82%","12.38%","0.0%","10.108.200.141/180521/15/2018052115.1526886613.csv","2018-05-21 15:10:13","2018-05-21 15:13:28"
"4260","5020","47495","45992","64833","64833","64833","64833","49465","49916","46059","44490","64833","105","18598","59813","8983","37159","41227","41986","12","760","632","11","0","4595","9615","0","5538","5017","9612","4595","0","0","3023","20997","23","9438","31352","0","3932","","0","47539","13362","9076.0","71.31%","7.74%","6.57%","63.59%","64.76%","0.02%","1.17%","0.97%","0.02%","0.0%","7.09%","14.83%","0.0%","57.31%","19.63%","14.0%","13.86%","19.43%","19.66%","8.54%","7.74%","14.83%","7.09%","0.0%","10.108.200.141/180521/14/2018052114.1526886548.csv","2018-05-21 15:09:08","2018-05-21 15:12:38"
"99850","125944","316667","18885","343725","343725","343725","343725","339165","339692","339176","339742","343725","423","4064","217781","119609","219633","213721","239814","4","26519","24532","3","425","18197","144141","0","27432","125637","143456","17819","0","0","10599","313385","82","1","19658","335413","1","","52","8155","104","120028.0","98.82%","36.64%","29.05%","62.18%","69.77%","0.0%","7.72%","7.14%","0.0%","0.12%","5.29%","41.93%","0.0%","63.9%","35.34%","34.92%","34.8%","35.21%","35.34%","7.98%","36.55%","41.74%","5.18%","0.0%","10.108.200.141/180521/15/2018052115.1526886358.csv","2018-05-21 15:05:58","2018-05-21 15:09:08"
"5569","6547","58843","56838","75856","75856","75856","75856","60173","60885","57088","55125","75856","160","18549","69309","11752","45398","50763","51741","3","979","777","3","1","5982","12529","0","7330","6540","12522","5982","0","0","3597","26532","31","9385","36311","0","3963","","0","58902","12991","11909.0","75.55%","8.63%","7.34%","66.92%","68.21%","0.0%","1.29%","1.02%","0.0%","0.0%","7.89%","16.52%","0.0%","59.85%","20.78%","15.7%","15.49%","20.51%","20.79%","9.66%","8.62%","16.51%","7.89%","0.0%","10.108.200.141/180521/14/2018052114.1526886278.csv","2018-05-21 15:04:38","2018-05-21 15:08:37"
"90837","114392","288137","17222","309604","309604","309604","309604","305725","306131","305832","306289","309604","1784","3502","195212","164146","140174","191712","215266","2","23988","16109","1","433","65863","180255","0","104180","114077","179741","65664","0","0","9166","285641","65","1","14731","302381","3","","45","6973","202","165928.0","98.87%","36.95%","29.34%","61.92%","69.53%","0.0%","7.75%","5.2%","0.0%","0.14%","21.27%","58.22%","0.0%","45.28%","54.21%","53.59%","53.02%","53.62%","54.21%","33.65%","36.85%","58.06%","21.21%","0.0%","10.108.200.141/180521/15/2018052115.1526886108.csv","2018-05-21 15:01:48","2018-05-21 15:05:22"
"42047","52116","173470","63422","200301","200301","200301","200301","184137","184801","181293","179422","200301","440","18682","148185","61666","119521","129511","139579","8","10240","8799","7","171","18349","70465","0","25838","52004","70217","18213","0","0","6606","140905","39","9166","43585","123013","3614","","10","61114","12550","62098.0","90.67%","26.02%","20.99%","64.66%","69.68%","0.0%","5.11%","4.39%","0.0%","0.09%","9.16%","35.18%","0.0%","59.67%","34.19%","31.0%","30.79%","33.95%","34.2%","12.9%","25.96%","35.06%","9.09%","0.0%","10.108.200.141/180521/14/2018052114.1526886028.csv","2018-05-21 15:00:28","2018-05-21 15:03:52"
"101615","127032","366245","77264","407134","407134","407134","407134","387473","388441","383996","382467","407134","4213","22501","280102","262014","118419","257613","283028","12","25877","8893","10","460","143875","270907","0","226257","126657","270631","143974","0","0","13155","328014","91","9947","55927","320879","3324","","69","68903","13959","266214.0","94.47%","31.2%","24.96%","63.27%","69.52%","0.0%","6.36%","2.18%","0.0%","0.11%","35.34%","66.54%","0.0%","29.09%","69.21%","65.39%","64.36%","68.12%","69.22%","55.57%","31.11%","66.47%","35.36%","0.0%","10.108.200.141/180521/14/2018052114.1526885783.csv","2018-05-21 14:56:23","2018-05-21 15:00:22"
"103279","129136","367014","72077","406828","406828","406828","406828","387594","388480","384705","383247","406828","5404","21516","277692","307427","72494","256189","282042","13","26319","4260","9","462","182551","311687","0","289750","128825","311567","182742","0","0","12804","333652","92","9790","50490","327172","3401","","55","63016","13184","312818.0","94.71%","31.74%","25.39%","62.97%","69.33%","0.0%","6.47%","1.05%","0.0%","0.11%","44.87%","76.61%","0.0%","17.82%","81.19%","76.89%","75.57%","79.79%","81.19%","71.22%","31.67%","76.58%","44.92%","0.0%","10.108.200.141/180521/14/2018052114.1526885523.csv","2018-05-21 14:52:03","2018-05-21 14:55:22"
"104428","130529","375185","80045","415920","415920","415920","415920","397366","398304","394145","392438","415920","6076","21161","285391","329060","59642","264249","290347","19","26534","1959","16","433","200490","331019","0","319291","130231","331003","200772","0","0","13080","336463","91","8750","57536","328553","3561","","45","71196","12565","335117.0","94.91%","31.38%","25.11%","63.53%","69.81%","0.0%","6.38%","0.47%","0.0%","0.1%","48.2%","79.59%","0.0%","14.34%","84.89%","80.57%","79.12%","83.36%","84.9%","76.77%","31.31%","79.58%","48.27%","0.0%","10.108.200.141/180521/14/2018052114.1526885268.csv","2018-05-21 14:47:48","2018-05-21 14:51:22"
"120655","151234","431388","87144","477524","477524","477524","477524","455955","457042","452700","451065","477524","5670","24015","326290","329882","117967","302285","332860","10","31055","8504","6","476","187152","338386","0","295998","150889","338161","187272","0","0","15181","390803","99","10176","61265","382086","4116","","54","77352","13916","335542.0","94.97%","31.67%","25.27%","63.3%","69.71%","0.0%","6.5%","1.78%","0.0%","0.1%","39.19%","70.86%","0.0%","24.7%","73.99%","70.27%","69.08%","72.74%","73.99%","61.99%","31.6%","70.82%","39.22%","0.0%","10.108.200.141/180521/14/2018052114.1526884963.csv","2018-05-21 14:42:43","2018-05-21 14:46:43"
"101486","127171","361508","72978","399869","399869","399869","399869","381673","382527","378689","377242","399869","5988","20578","272698","318981","54337","252134","277814","14","26083","1899","9","398","193709","320880","0","310127","126815","320861","194046","0","0","12756","326475","70","8686","51882","319226","3288","","47","65216","12092","324954.0","94.85%","31.8%","25.38%","63.05%","69.48%","0.0%","6.52%","0.47%","0.0%","0.1%","48.44%","80.25%","0.0%","13.59%","85.67%","81.27%","79.77%","84.1%","85.68%","77.56%","31.71%","80.24%","48.53%","0.0%","10.108.200.141/180521/14/2018052114.1526884718.csv","2018-05-21 14:38:38","2018-05-21 14:42:37"
"121557","152106","436310","89514","482907","482907","482907","482907","461053","462146","457719","455956","482907","6654","24403","330801","370994","80868","306409","336957","11","31045","3917","10","496","222805","374911","0","354141","151726","374808","223082","0","0","16083","392555","120","10140","64009","384231","3724","","66","80809","14077","377636.0","94.95%","31.5%","25.17%","63.45%","69.78%","0.0%","6.43%","0.81%","0.0%","0.1%","46.14%","77.64%","0.0%","16.75%","82.36%","78.2%","76.83%","80.91%","82.37%","73.34%","31.42%","77.61%","46.2%","0.0%","10.108.200.141/180521/14/2018052114.1526884418.csv","2018-05-21 14:33:38","2018-05-21 14:37:38"
