"IMSI","IMEI","Start GUMMEI","End GUMMEI","Start Time","End Time","Start Type","End Type","Start MME UE S1AP ID","End MME UE S1AP ID","Start eNB UE S1AP ID","End eNB UE S1AP ID","Total","IMSI Blank","LSR No Key","LSR No IMEI","IMSI Mapped","DMS Not Match","KEY NO IMEI","KEY NO IMSI","IMEI NO KEY","IMEI NO IMSI","IMEI NO NewIMSI","IMSI NO KEY","IMSI NO IMEI","NewIMSI NO IMEI","IMEI Mapped","NewIMSI NO NewIMEI","KEY IMSI Mapping","IMEI IMSI Mapping","DMS IMSI Mapping","KEY NO IMEI Mapping","IMEI NO KEY Mapping","Session Error","Start Type:Connection Reestablishment","Start Type:New Connection","Start Type:S1 Handover","Start Type:Unknown","Start Type:X2 Handover","End Type:Connection Release","End Type:Failed Attempt","End Type:Intra-eNB Handover","End Type:Outgoing S1 Handover","End Type:Outgoing X2 Handover","End Type:Unknown","DMS Match","Key Rate","IMEI Rate","Orig IMSI Rate","KEY NO IMEI Rate","KEY NO IMSI Rate","IMEI NO KEY Rate","IMEI NO IMSI Rate","IMEI NO NewIMSI Rate","IMSI NO KEY Rate","IMSI NO IMEI Rate","NewIMSI NO IMEI Rate","NewIMEI Rate","NewIMSI NO NewIMEI Rate","DMS Not Match Rate","Keyed DMS Match Rate","DMS Match Rate","Mapped Rate","Keyed Mapped Rate","Keyed Mapped Rate (with Blank)","KEY IMSI Mapping Rate","IMEI IMSI Mapping Rate","DMS IMSI Mapping Rate","KEY NO IMEI Mapping Rate","IMEI NO KEY Mapping Rate","File Path","File Time","Sync Time"
"3","3","48","3","7031","7031","7031","7031","2790","2790","47","47","7031","0","7025","7028","5","1","3","3","0","0","0","0","0","2","5","0","5","3","5","2","0","0","165","1185","","2896","2785","0","1138","1","0","0","5892","5.0","0.09%","0.04%","0.04%","0.04%","0.04%","0.0%","0.0%","0.0%","0.0%","0.0%","0.03%","0.07%","0.0%","0.01%","83.33%","0.07%","0.07%","83.33%","83.33%","0.07%","0.04%","0.07%","0.03%","0.0%","10.108.200.141/180522/14/2018052214.1526973408.csv","2018-05-22 15:16:48","2018-05-22 15:20:03"
"119240","150691","423995","85620","458955","458955","458955","458955","446443","447586","446184","444523","458955","4473","11960","308264","301462","141071","296315","327761","11","31995","11585","6","544","162356","313047","0","257574","150320","312702","162382","0","0","15008","380867","113","4234","58733","376911","1527","","73","75822","4622","305924.0","97.39%","32.83%","25.98%","64.56%","71.41%","0.0%","6.97%","2.52%","0.0%","0.12%","35.38%","68.21%","0.0%","30.74%","68.44%","66.66%","65.68%","67.44%","68.44%","56.12%","32.75%","68.13%","35.38%","0.0%","10.108.200.141/180522/15/2018052215.1526973298.csv","2018-05-22 15:14:58","2018-05-22 15:18:58"
"9","9","1452","1442","19272","19272","19272","19272","4478","4478","1453","1437","19272","1","17819","19263","51","1401","1444","1444","0","0","0","0","0","42","51","0","48","9","51","42","0","0","581","3445","","10778","4468","0","3435","","0","1444","14393","52.0","7.54%","0.05%","0.05%","7.49%","7.49%","0.0%","0.0%","0.0%","0.0%","0.0%","0.22%","0.26%","0.0%","7.27%","3.58%","0.27%","0.26%","3.51%","3.58%","0.25%","0.05%","0.26%","0.22%","0.0%","10.108.200.141/180522/14/2018052214.1526973148.csv","2018-05-22 15:12:28","2018-05-22 15:15:53"
"100728","127387","348018","58465","372807","372807","372807","372807","367666","368416","367536","366593","372807","5670","4631","245420","319278","43234","240794","267453","5","27085","1962","5","426","193853","321240","0","310917","127086","321209","194123","0","0","11763","320418","87","7","40532","322618","1","","51","50094","43","324942.0","98.76%","34.17%","27.02%","64.59%","71.74%","0.0%","7.27%","0.53%","0.0%","0.11%","52.0%","86.17%","0.0%","11.6%","88.26%","87.16%","85.64%","86.72%","88.26%","83.4%","34.09%","86.16%","52.07%","0.0%","10.108.200.141/180522/15/2018052215.1526973053.csv","2018-05-22 15:10:53","2018-05-22 15:14:27"
"5213","6124","55185","53590","71044","71044","71044","71044","56722","57077","53863","52044","71044","163","16994","64920","11057","42833","47929","48839","3","911","743","2","0","5676","11800","0","6920","6124","11800","5676","0","0","3095","24590","20","9212","34127","0","3226","","0","55246","12572","11217.0","76.08%","8.62%","7.34%","67.46%","68.74%","0.0%","1.28%","1.05%","0.0%","0.0%","7.99%","16.61%","0.0%","60.29%","20.75%","15.79%","15.56%","20.46%","20.76%","9.74%","8.62%","16.61%","7.99%","0.0%","10.108.200.141/180522/14/2018052214.1526972893.csv","2018-05-22 15:08:13","2018-05-22 15:11:23"
"98967","125728","313435","17978","338193","338193","338193","338193","334336","334757","334279","334747","338193","3582","3461","212465","239782","91372","209008","235769","4","27186","10899","4","425","124953","250681","0","200318","125444","250375","124931","0","0","9864","310434","75","10","17810","330615","1","","57","7489","31","243360.0","98.98%","37.18%","29.26%","61.8%","69.71%","0.0%","8.04%","3.22%","0.0%","0.13%","36.95%","74.12%","0.0%","27.02%","72.7%","71.96%","70.9%","71.63%","72.7%","59.23%","37.09%","74.03%","36.94%","0.0%","10.108.200.141/180522/15/2018052215.1526972803.csv","2018-05-22 15:06:43","2018-05-22 15:09:53"
"5959","7032","62786","60893","80540","80540","80540","80540","64134","64558","60989","58888","80540","155","19296","73508","12582","48516","54221","55294","9","1073","863","9","0","6413","13445","0","7841","7026","13440","6414","0","0","3955","28219","27","10278","38061","0","3648","","0","62852","14040","12728.0","76.04%","8.73%","7.4%","67.32%","68.65%","0.01%","1.33%","1.07%","0.01%","0.0%","7.96%","16.69%","0.0%","60.24%","20.78%","15.8%","15.62%","20.54%","20.8%","9.74%","8.72%","16.69%","7.96%","0.0%","10.108.200.141/180522/14/2018052214.1526972623.csv","2018-05-22 15:03:43","2018-05-22 15:06:53"
"105272","133374","332416","18680","358468","358468","358468","358468","353932","354386","353887","354392","358468","2756","4104","225094","216812","134801","220993","249097","3","28511","15928","5","409","99366","232740","0","158575","132996","232251","99255","0","0","10829","329303","71","20","18245","349959","2","","50","8416","41","219563.0","98.86%","37.21%","29.37%","61.65%","69.49%","0.0%","7.95%","4.44%","0.0%","0.11%","27.72%","64.93%","0.0%","37.6%","61.96%","61.25%","60.48%","61.18%","61.96%","44.24%","37.1%","64.79%","27.69%","0.0%","10.108.200.141/180522/15/2018052215.1526972503.csv","2018-05-22 15:01:43","2018-05-22 15:05:43"
"75884","95540","282615","72683","320272","320272","320272","320272","300029","300770","296976","295188","320272","2839","22738","224732","189700","105005","202004","221658","10","19953","7620","8","297","101780","197320","0","160544","95313","197116","101803","0","0","10399","246932","81","11446","51414","234018","3796","1","42","67384","15031","192529.0","92.9%","29.83%","23.69%","63.07%","69.21%","0.0%","6.23%","2.38%","0.0%","0.09%","31.78%","61.61%","0.0%","32.79%","64.71%","60.11%","59.23%","63.76%","64.71%","50.13%","29.76%","61.55%","31.79%","0.0%","10.108.200.141/180522/14/2018052214.1526972348.csv","2018-05-22 14:59:08","2018-05-22 15:02:43"
"117535","148338","419064","84592","465126","465126","465126","465126","444357","445341","441082","439377","465126","6026","23332","316788","356335","79446","293469","324271","13","31337","4236","12","534","212233","360571","0","338961","147975","360479","212504","0","0","15283","379100","82","10106","60555","371713","3482","2","73","75842","14014","362348.0","94.98%","31.89%","25.27%","63.09%","69.72%","0.0%","6.74%","0.91%","0.0%","0.11%","45.63%","77.52%","0.0%","17.08%","82.02%","77.9%","76.61%","80.66%","82.02%","72.88%","31.81%","77.5%","45.69%","0.0%","10.108.200.141/180522/14/2018052214.1526972048.csv","2018-05-22 14:54:08","2018-05-22 14:58:08"
"101749","128723","361900","72523","401141","401141","401141","401141","382552","383383","379942","378425","401141","5664","20611","272418","320902","53974","251817","278791","10","27421","1922","10","447","194101","322824","0","312070","128381","322789","194408","0","0","13035","328293","77","9117","50619","320851","3247","","54","64640","12349","326556.0","94.86%","32.09%","25.36%","62.78%","69.5%","0.0%","6.84%","0.48%","0.0%","0.11%","48.39%","80.48%","0.0%","13.46%","85.82%","81.41%","80.0%","84.33%","85.82%","77.8%","32.0%","80.47%","48.46%","0.0%","10.108.200.141/180522/14/2018052214.1526971803.csv","2018-05-22 14:50:03","2018-05-22 14:53:08"
"117811","148440","415665","80417","462910","462910","462910","462910","439285","440236","436500","434945","462910","6429","25706","314470","371027","59756","288772","319401","8","31122","2152","8","493","224739","373179","0","360791","148023","373156","225133","0","0","15093","378485","88","12432","56812","371482","3959","","69","71523","15877","377448.0","94.45%","32.07%","25.45%","62.38%","69.0%","0.0%","6.72%","0.46%","0.0%","0.11%","48.55%","80.62%","0.0%","12.91%","86.33%","81.54%","80.15%","84.86%","86.33%","77.94%","31.98%","80.61%","48.63%","0.0%","10.108.200.141/180522/14/2018052214.1526971503.csv","2018-05-22 14:45:03","2018-05-22 14:49:03"
