Date,eNB--MME,total record,total IMSI,IMSI rate,Note
2017-12-10,sum of EN,85664276,83436192,97.40%,
2017-12-10,sum of total ERT eNB,111474082,109186731,97.95%,used in LSR IMSI matching
2017-12-10,sum of NE,94320,94203,99.88%,
2017-12-10,sum of NN,467004165,456593693,97.77%,
2017-12-10,sum of total NSN eNB,467098485,456687896,97.77%,
2017-12-10,total E + N,578572567,565874627,97.81%,used in DMS output reports
2017-12-10,sum of total ERT MME,25904126,25844742,99.77%,
2017-12-10,sum of total NSN MME,552668441,540029885,97.71%,
2017-12-10,IMSI mapping rate,,,81.36%,
2017-12-10,IMEI mapping rate,,,82.2%,
